Product Details
NFRC ID,8909
CGDB ID,
Name,SageGlass® SR2.0_7mm lami fully tinted 1%T
Manufacturer,"SAGE Electrochromics, Inc."
Acceptance,#
Appearance,unknown
Filename,SageGlass_7_SR2_1dk.SAG
Type,glazing
Subtype,laminate
IGDB Version,33.0
CGDB Version,
Specular,True
Thickness,6.98999977111816
TIR f,0.0
TIR b,
Emis f,0.839105188846588
Emis b,0.139635980129242
Conductivity,0.679000020027161
Permeability Factor,
tfsol,0.004364469
rfsol,0.1144846
rbsol,0.1153374
tfvis,0.01076648
rfvis,0.1128854
rbvis,0.01256683
tdw,0.0111224
tuv,0.0002680672
tspf,12580.23
tciex,0.9203137
tciey,1.127636
tciez,1.969637
rfciex,10.53258
rfciey,11.40154
rfciez,14.07595

Spectral Data
Wavelength,T,Rf,Rb
0.725,0.00100000004749745,0.0839999988675117,0.0320000015199184
0.73,0.00100000004749745,0.0820000022649765,0.0430000014603138
0.735,0.00100000004749745,0.0799999982118607,0.0540000014007092
0.74,0.00100000004749745,0.0790000036358833,0.0670000016689301
0.745,0.00100000004749745,0.0780000016093254,0.0799999982118607
0.75,0.00100000004749745,0.0769999995827675,0.0930000022053719
0.755,0.00100000004749745,0.0759999975562096,0.105999998748302
0.76,0.00100000004749745,0.0750000029802322,0.119000002741814
0.765,0.00100000004749745,0.0750000029802322,0.129999995231628
0.77,0.00100000004749745,0.0740000009536743,0.141000002622604
0.775,0.00100000004749745,0.0740000009536743,0.150999993085861
0.78,0.00100000004749745,0.0740000009536743,0.158999994397163
0.785,0.00100000004749745,0.0740000009536743,0.165999993681908
0.79,0.00100000004749745,0.0740000009536743,0.172000005841255
0.795,0.0,0.0740000009536743,0.175999999046326
0.8,0.0,0.0729999989271164,0.179000005125999
0.805,0.0,0.0729999989271164,0.180000007152557
0.81,0.0,0.0729999989271164,0.180000007152557
0.815,0.0,0.0729999989271164,0.178000003099442
0.82,0.0,0.0740000009536743,0.175999999046326
0.825,0.0,0.0740000009536743,0.172000005841255
0.83,0.00100000004749745,0.0740000009536743,0.165999993681908
0.835,0.0,0.0729999989271164,0.158999994397163
0.84,0.0,0.0719999969005585,0.149000003933907
0.845,0.0,0.0710000023245811,0.137999996542931
0.85,0.0,0.0700000002980232,0.126000002026558
0.855,0.0,0.0700000002980232,0.112999998033047
0.86,0.0,0.0689999982714653,0.101000003516674
0.865,0.0,0.0689999982714653,0.0900000035762787
0.87,0.0,0.0689999982714653,0.0799999982118607
0.875,0.0,0.0689999982714653,0.0710000023245811
0.88,0.0,0.068000003695488,0.061999998986721
0.885,0.0,0.0670000016689301,0.0529999993741512
0.89,0.0,0.0670000016689301,0.0450000017881393
0.895,0.0,0.0659999996423721,0.0370000004768372
0.9,0.0,0.0659999996423721,0.0299999993294477
0.905,0.0,0.0659999996423721,0.025000000372529
0.91,0.0,0.0649999976158142,0.0199999995529652
0.915,0.0,0.0649999976158142,0.0160000007599592
0.92,0.0,0.0649999976158142,0.0120000001043081
0.925,0.0,0.0649999976158142,0.00899999961256981
0.93,0.0,0.0640000030398369,0.00700000021606684
0.935,0.0,0.0640000030398369,0.00600000005215406
0.94,0.0,0.0640000030398369,0.00600000005215406
0.945,0.0,0.063000001013279,0.00600000005215406
0.95,0.0,0.063000001013279,0.00700000021606684
0.955,0.0,0.061999998986721,0.00899999961256981
0.96,0.0,0.061999998986721,0.0109999999403954
0.965,0.0,0.061999998986721,0.0120000001043081
0.97,0.0,0.061999998986721,0.0149999996647239
0.975,0.0,0.061999998986721,0.017000000923872
0.98,0.0,0.061999998986721,0.0189999993890524
0.985,0.0,0.061999998986721,0.0209999997168779
0.99,0.0,0.061999998986721,0.0230000000447035
0.995,0.0,0.061999998986721,0.025000000372529
1.0,0.0,0.061999998986721,0.0270000007003546
1.005,0.0,0.061999998986721,0.028999999165535
1.01,0.0,0.061999998986721,0.0299999993294477
1.015,0.0,0.0610000006854534,0.0320000015199184
