Product Details
NFRC ID,8905
CGDB ID,
Name,SageGlass® SR2.0_7mm lami full clear 60%T
Manufacturer,"SAGE Electrochromics, Inc."
Acceptance,#
Appearance,unknown
Filename,SageGlass_7_SR2_60clr.SAG
Type,glazing
Subtype,laminate
IGDB Version,33.0
CGDB Version,
Specular,True
Thickness,6.98999977111816
TIR f,0.0
TIR b,
Emis f,0.839105188846588
Emis b,0.139635980129242
Conductivity,0.679000020027161
Permeability Factor,
tfsol,0.4088432
rfsol,0.1383806
rbsol,0.1449602
tfvis,0.6769015
rfvis,0.1204121
rbvis,0.08013411
tdw,0.3961996
tuv,0.005263518
tspf,581.0173
tciex,61.31234
tciey,67.14142
tciez,57.49485
rfciex,11.75121
rfciey,12.16083
rfciez,15.04204

Spectral Data
Wavelength,T,Rf,Rb
0.675,0.625999987125397,0.103000000119209,0.0509999990463257
0.68,0.616999983787537,0.108000002801418,0.0599999986588955
0.685,0.606000006198883,0.11599999666214,0.0740000009536743
0.69,0.592999994754791,0.125,0.090999998152256
0.695,0.578999996185303,0.133000001311302,0.109999999403954
0.7,0.566999971866608,0.140000000596046,0.127000004053116
0.705,0.558000028133392,0.14300000667572,0.140000000596046
0.71,0.551999986171722,0.14300000667572,0.146999999880791
0.715,0.549000024795532,0.140000000596046,0.149000003933907
0.72,0.549000024795532,0.133000001311302,0.144999995827675
0.725,0.550999999046326,0.125,0.136999994516373
0.73,0.555000007152557,0.115000002086163,0.125
0.735,0.559000015258789,0.105999998748302,0.112999998033047
0.74,0.560999989509583,0.0989999994635582,0.101000003516674
0.745,0.560999989509583,0.0939999967813492,0.0920000001788139
0.75,0.559000015258789,0.0930000022053719,0.0869999974966049
0.755,0.554000020027161,0.0939999967813492,0.0869999974966049
0.76,0.546000003814697,0.0979999974370003,0.0900000035762787
0.765,0.53600001335144,0.104000002145767,0.0979999974370003
0.77,0.523999989032745,0.111000001430511,0.108000002801418
0.775,0.513000011444092,0.118000000715256,0.119000002741814
0.78,0.500999987125397,0.125,0.129999995231628
0.785,0.490000009536743,0.129999995231628,0.138999998569489
0.79,0.481000006198883,0.133000001311302,0.146999999880791
0.795,0.47299998998642,0.135000005364418,0.151999995112419
0.8,0.467000007629395,0.135000005364418,0.155000001192093
0.805,0.462000012397766,0.13400000333786,0.156000003218651
0.81,0.458999991416931,0.130999997258186,0.153999999165535
0.815,0.456999987363815,0.12899999320507,0.150000005960464
0.82,0.456999987363815,0.126000002026558,0.144999995827675
0.825,0.456000000238419,0.122000001370907,0.138999998569489
0.83,0.456000000238419,0.119000002741814,0.131999999284744
0.835,0.456999987363815,0.115000002086163,0.123999997973442
0.84,0.458000004291534,0.111000001430511,0.115000002086163
0.845,0.458999991416931,0.10700000077486,0.105999998748302
0.85,0.46000000834465,0.104000002145767,0.0970000028610229
0.855,0.46000000834465,0.100000001490116,0.0879999995231628
